date,description,kind,lat,lng
2006-01-01,,c,40.774859697,-73.933831684
2006-01-01,,c,40.807699163,-73.947384858
2006-01-01,,c,40.774859697,-73.933831684
2006-01-01,,c,40.698147012,-73.891107604
2006-01-02,,c,40.709934722,-73.942938857
2006-01-02,,c,40.792411505,-73.972427963
2006-01-02,,c,40.681352731,-73.911448113
2006-01-02,,c,40.75654054,-73.962747655
2006-01-03,,c,40.668495032,-73.909947583
2006-01-04,,c,40.87813788,-73.869434337
2006-01-06,,c,40.765676497,-73.91410127
2006-01-07,,c,40.642621472,-73.898574282
2006-01-07,,c,40.697767123,-73.783520332
2006-01-08,,c,40.673164918,-73.90776746
2006-01-08,,c,40.635194687,-73.928612574
2006-01-09,,c,40.638987925,-74.007726607
2006-01-09,,c,40.885357708,-73.850158611
2006-01-09,,c,40.768546161,-73.932736856
2006-01-10,,c,40.804735761,-73.956096041
2006-01-10,,c,40.822477116,-73.954733041
2006-01-11,,c,40.872239593,-73.864723685
2006-01-11,,c,40.587611562,-73.95766093
2006-01-11,,c,40.688947184,-73.946476131
2006-01-14,,c,40.682478096,-73.983895654
2006-01-14,,c,40.741288464,-73.902566861
2006-01-14,,c,40.868682869,-73.86045366
2006-01-14,,c,40.879927685,-73.896798343
2006-01-15,,c,40.847525706,-73.827281186
2006-01-16,,c,40.805080912,-73.923301131
2006-01-17,,c,40.770829967,-73.992614799
2006-01-17,,c,40.82032959,-73.917860479
2006-01-18,,c,40.708673331,-73.958579553
2006-01-19,,c,40.810541447,-73.939258226
2006-01-19,,c,40.693873839,-73.828396839
2006-01-20,,c,40.627307984,-73.922932622
2006-01-21,,c,40.807263659,-73.956108823
2006-01-22,,c,40.806439748,-73.948299746
2006-01-22,,c,40.659574274,-73.929267692
2006-01-23,,c,40.576281819,-73.981383414
2006-01-23,,c,40.878065259,-73.892129215
2006-01-25,,c,40.865658464,-73.891310558
2006-01-25,,c,40.801684059,-73.938959292
2006-01-26,,c,40.739087032,-74.006457177
2006-01-27,,c,40.647951397,-73.960606456
2006-01-28,,c,40.668349566,-73.906516063
2006-01-29,,c,40.71803315,-73.979745736
2006-01-29,,c,40.842622599,-73.935867743
2006-01-30,,c,40.879660905,-73.881914474
2006-02-01,,c,40.876054769,-73.841074469
2006-02-01,,c,40.620106404,-74.026768914
2006-02-01,,c,40.759887002,-73.806886205
2006-02-02,,c,40.82800266,-73.949175499
2006-02-03,,c,40.826401859,-73.936793928
2006-02-03,,c,40.821567077,-73.896885237
2006-02-03,,c,40.693777815,-73.907324243
2006-02-04,,c,40.694742269,-73.803338891
2006-02-05,,c,40.702050848,-73.850264063
2006-02-05,,c,40.734119757,-73.950982698
2006-02-05,,c,40.683886082,-73.918785716
2006-02-05,,c,40.874190655,-73.909115781
2006-02-05,,c,40.702050848,-73.850264063
2006-02-05,,c,40.821025398,-73.937604737
2006-02-06,,c,40.611091477,-73.745670599
2006-02-07,,c,40.714060101,-73.990200647
2006-02-09,,c,40.760932135,-73.81658621
2006-02-09,,c,40.69908711,-73.774806554
2006-02-11,,c,40.808181926,-73.931165181
2006-02-12,,c,40.852141187,-73.922375722
2006-02-14,,c,40.688791267,-73.80475912
2006-02-15,,c,40.608883423,-74.083157189
2006-02-16,,c,40.674366695,-73.918072688
2006-02-17,,c,40.812520134,-73.902813002
2006-02-17,,c,40.695822366,-73.978912231
2006-02-17,,c,40.847282927,-73.907323637
2006-02-17,,c,40.67464672,-73.752984521
2006-02-19,,c,40.830472798,-73.861914165
2006-02-19,,c,40.609158036,-73.756572683
2006-02-19,,c,40.67275684,-73.937710997
2006-02-19,,c,40.678496625,-73.938563695
2006-02-21,,c,40.83545295,-73.91782374
2006-02-23,,c,40.659502392,-73.94904797
2006-02-23,,c,40.656693256,-73.897749172
2006-02-23,,c,40.659502392,-73.94904797
2006-02-24,,c,40.679384445,-73.960126407
2006-02-24,,c,40.679384445,-73.960126407
2006-02-24,,c,40.679384445,-73.960126407
2006-02-24,,c,40.679384445,-73.960126407
2006-02-25,,c,40.655567357,-73.862932131
2006-02-25,,c,40.687675638,-73.951031261
2006-02-25,,c,40.848170346,-73.919463465
2006-02-27,,c,40.613305542,-73.917185953
2006-02-27,,c,40.788195615,-73.942669558
2006-02-28,,c,40.709508223,-73.767503285
2006-02-28,,c,40.666210502,-73.932760748
2006-03-02,,c,40.863507284,-73.904466615
2006-03-03,,c,40.635462012,-74.160239791
2006-03-05,,c,40.836236875,-73.887321962
2006-03-05,,c,40.6932266,-73.960915074
2006-03-05,,c,40.6932266,-73.960915074
2006-03-05,,c,40.83616553,-73.916370098
2006-03-06,,c,40.857010331,-73.883310302
2006-03-06,,c,40.760601688,-73.968333252
2006-03-06,,c,40.819809509,-73.898914824
2006-03-09,,c,40.687462309,-73.952859545
2006-03-11,,c,40.64097285,-73.92923336
2006-03-11,,c,40.827888685,-73.875191502
2006-03-12,,c,40.734827012,-73.777763691
2006-03-14,,c,40.697517533,-73.924153347
2006-03-16,,c,40.826732261,-73.950101481
2006-03-18,,c,40.67514937,-73.922635797
2006-03-19,,c,40.679308959,-73.949616903
2006-03-19,,c,40.676644333,-73.813923042
2006-03-21,,c,40.884447144,-73.87878135
2006-03-21,,c,40.821344747,-73.939407339
2006-03-25,,c,40.68553341,-73.937057253
2006-03-25,,c,40.652370605,-73.960917385
2006-03-25,,c,40.68900458,-73.785806054
2006-03-27,,c,40.797300086,-73.94892806
2006-03-28,,c,40.645805126,-73.922950896
2006-03-29,,c,40.65513999,-73.889163148
2006-03-30,,c,40.826548914,-73.865130932
2006-03-30,,c,40.693782774,-73.934514365
2006-03-31,,c,40.668637618,-73.957259839
2006-04-01,,c,40.651194715,-73.896921514
2006-04-01,,c,40.805065604,-73.939035658
2006-04-01,,c,40.818158403,-73.903538178
2006-04-01,,c,40.666652801,-73.882082504
2006-04-01,,c,40.854376184,-73.868703794
2006-04-02,,c,40.863838685,-73.833692208
2006-04-02,,c,40.830588382,-73.943699024
2006-04-06,,c,40.790492641,-73.936817184
2006-04-06,,c,40.794498943,-73.945607562
